timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
51368332155,-1,1,-3,-5,-6,-4,4,2
51368332155,-3,-3,-2,-1,-1,2,-1,2
51368336820,-1,2,-2,-1,-1,-1,-5,-4
51368336820,0,1,0,1,2,-2,0,0
51368353233,0,-2,0,2,2,2,1,2
51368353233,0,0,-4,-2,1,0,-4,-2
51368360763,4,-4,-8,-12,-12,-5,-1,-1
51368360763,-2,-1,2,13,7,-1,1,2
51368362227,-2,-3,-2,-7,-2,-1,-3,-2
51368362227,-1,-1,-1,0,0,-2,-2,-2
51368383701,-2,-2,2,2,5,-1,1,1
51368383701,-3,1,-4,-7,-10,-2,-1,0
51368385164,-1,-1,-2,-3,-2,-2,-3,-1
51368385164,-1,1,0,3,-3,0,-1,-1
51368405741,-2,-2,0,4,6,-3,0,-1
51368405741,2,-1,-3,-7,-9,-2,-2,-1
51368407221,-2,1,0,1,3,1,0,0
51368407221,2,-1,-2,-2,-2,-2,0,-1
51368428109,-4,-3,1,-1,-1,1,-1,-2
51368428109,2,1,-2,0,1,1,0,-1
51368429737,-1,-2,0,3,0,-1,-1,1
51368429737,-2,-2,-2,-5,-4,-1,0,-1
51368443128,-1,-2,-4,-1,-4,-1,-1,-3
51368443128,0,-1,-1,0,1,-1,1,-1
51368444656,-1,-1,0,5,1,1,-2,-1
51368444656,-1,-3,0,-2,-2,-2,0,-1
51368456717,-2,-1,2,1,-1,0,-2,0
51368456717,-1,-2,0,-2,0,-1,0,0
51368465722,-1,-2,-1,-4,-4,-3,-1,-1
51368465722,-3,1,0,-1,0,-2,0,0
51368480757,-1,-2,0,2,0,0,0,0
51368480757,-2,-1,0,1,-1,-2,-2,-2
51368482257,0,0,0,3,2,-1,0,-1
51368482257,-1,-1,1,-4,-5,0,1,-1
51368503217,0,-2,0,0,-1,-1,-3,-1
51368503217,-3,-2,2,4,4,1,-1,-1
51368504702,0,-1,-2,-6,-8,-3,-2,-1
51368504702,-2,-2,-3,2,0,-2,0,-2
51368516883,-3,-2,0,-2,0,-2,0,-1
51368516883,1,3,-1,-1,1,0,1,0
51368533226,-1,0,0,4,3,-1,0,-1
51368533226,1,0,-1,1,-6,-1,-2,-1
51368540729,-3,0,1,-2,-1,1,-1,-1
51368540729,-1,-1,0,3,2,-1,0,-1
51368542365,-5,-1,-1,-4,-4,1,-1,-2
51368542365,3,3,-2,-3,-2,-1,-2,0
51368563624,0,-4,-1,1,-1,-2,1,-1
51368563624,-1,-1,-4,-10,-4,-3,-3,-1
51368565190,0,1,0,3,-2,-1,-1,-1
51368565190,-1,1,-2,-1,2,0,-1,-1
51368576928,0,2,-1,4,3,-1,0,-1
51368576928,-1,-3,-2,-2,-3,-1,-2,-2
51368585770,0,0,-4,-3,-2,0,0,0
51368585770,-1,-1,1,-4,-6,-2,-1,1
51368608237,-1,1,-1,-2,2,-2,-2,-3
51368608237,-1,-1,2,2,1,0,0,-2
51368609694,-2,-3,-2,0,-2,0,0,0
51368609694,-2,0,-1,0,-1,0,0,0
51368623138,1,0,-4,-1,-2,-1,-1,0
51368623138,1,-2,0,1,0,0,0,-1
51368624888,4,-1,-2,-8,-10,-4,-1,-1
51368624888,-2,-1,-1,-2,4,0,-1,-3
51368645787,-2,-2,-2,-7,-8,-2,0,-1
51368645787,-1,-1,0,10,6,1,0,1
